stratum,lineage,head,seed,K,forget_id,update_mode,dose,protocol,epochs_recorded,first_zero_epoch,centred_reversal_ep1,centred_reversal_any_epoch,centred_reversal_epochs,uncentred_reversal_any,nc3_centred_ep0,source_artifact,reused_elsewhere
B seed-1 replication,faces-nested (casia-webface-folders; min40/max50),ce,1,100,0,classifier_only,m=9 active forget steps/epoch; lambda=1; per-cell reseed,random_label_clfonly; 3 epochs,0;1;2;3,1,False,False,-,False,0.8443866360840486,runs/robustness/k100_seed1/20260917T151714Z_056b522/unlearning/faces_ce_seed1_random_label_clfonly_fc0,verbatim copy in evidence/k100_seed1/trajectories/seed1/
B seed-1 replication,faces-nested (casia-webface-folders; min40/max50),ce,1,100,29,classifier_only,m=9 active forget steps/epoch; lambda=1; per-cell reseed,random_label_clfonly; 3 epochs,0;1;2;3,1,False,False,-,False,0.8301482778927578,runs/robustness/k100_seed1/20260917T151714Z_056b522/unlearning/faces_ce_seed1_random_label_clfonly_fc29,verbatim copy in evidence/k100_seed1/trajectories/seed1/
B seed-1 replication,faces-nested (casia-webface-folders; min40/max50),ce,1,100,60,classifier_only,m=9 active forget steps/epoch; lambda=1; per-cell reseed,random_label_clfonly; 3 epochs,0;1;2;3,1,False,False,-,False,0.8222519133001325,runs/robustness/k100_seed1/20260917T151714Z_056b522/unlearning/faces_ce_seed1_random_label_clfonly_fc60,verbatim copy in evidence/k100_seed1/trajectories/seed1/
B seed-1 replication,faces-nested (casia-webface-folders; min40/max50),ce,1,100,95,classifier_only,m=9 active forget steps/epoch; lambda=1; per-cell reseed,random_label_clfonly; 3 epochs,0;1;2;3,1,False,False,-,False,0.8405530375198977,runs/robustness/k100_seed1/20260917T151714Z_056b522/unlearning/faces_ce_seed1_random_label_clfonly_fc95,verbatim copy in evidence/k100_seed1/trajectories/seed1/
B seed-1 replication,faces-nested (casia-webface-folders; min40/max50),arcface,1,100,0,classifier_only,m=9 active forget steps/epoch; lambda=1; per-cell reseed,random_label_clfonly; 3 epochs,0;1;2;3,2,False,False,-,False,0.9219315873428128,runs/robustness/k100_seed1/20260917T151714Z_056b522/unlearning/faces_arcface_seed1_random_label_clfonly_fc0,verbatim copy in evidence/k100_seed1/trajectories/seed1/
B seed-1 replication,faces-nested (casia-webface-folders; min40/max50),arcface,1,100,29,classifier_only,m=9 active forget steps/epoch; lambda=1; per-cell reseed,random_label_clfonly; 3 epochs,0;1;2;3,2,False,False,-,False,0.7556820621910747,runs/robustness/k100_seed1/20260917T151714Z_056b522/unlearning/faces_arcface_seed1_random_label_clfonly_fc29,verbatim copy in evidence/k100_seed1/trajectories/seed1/
B seed-1 replication,faces-nested (casia-webface-folders; min40/max50),arcface,1,100,60,classifier_only,m=9 active forget steps/epoch; lambda=1; per-cell reseed,random_label_clfonly; 3 epochs,0;1;2;3,1,False,False,-,False,0.7533854656936595,runs/robustness/k100_seed1/20260917T151714Z_056b522/unlearning/faces_arcface_seed1_random_label_clfonly_fc60,verbatim copy in evidence/k100_seed1/trajectories/seed1/
B seed-1 replication,faces-nested (casia-webface-folders; min40/max50),arcface,1,100,95,classifier_only,m=9 active forget steps/epoch; lambda=1; per-cell reseed,random_label_clfonly; 3 epochs,0;1;2;3,1,False,False,-,False,0.9719784147666561,runs/robustness/k100_seed1/20260917T151714Z_056b522/unlearning/faces_arcface_seed1_random_label_clfonly_fc95,verbatim copy in evidence/k100_seed1/trajectories/seed1/
C historical faces-1000,faces-1000 (same source dir; different forget ids),ce,0,1000,0,classifier_only,UNCONTROLLED (forget term on every retain step); lambda=1,random_label_clfonly; 3 epochs,0;1;2;3,1,False,False,-,False,0.7887138019372109,logs/faces_ce_seed0_random_label_clfonly_fc0,
C historical faces-1000,faces-1000 (same source dir; different forget ids),ce,0,1000,122,classifier_only,UNCONTROLLED (forget term on every retain step); lambda=1,random_label_clfonly; 3 epochs,0;1;2;3,1,False,False,-,False,0.8211672542838008,logs/faces_ce_seed0_random_label_clfonly_fc122,
C historical faces-1000,faces-1000 (same source dir; different forget ids),ce,0,1000,389,classifier_only,UNCONTROLLED (forget term on every retain step); lambda=1,random_label_clfonly; 3 epochs,0;1;2;3,1,False,False,-,False,0.7864641460591538,logs/faces_ce_seed0_random_label_clfonly_fc389,
C historical faces-1000,faces-1000 (same source dir; different forget ids),ce,0,1000,794,classifier_only,UNCONTROLLED (forget term on every retain step); lambda=1,random_label_clfonly; 3 epochs,0;1;2;3,1,False,False,-,False,0.8507749281321405,logs/faces_ce_seed0_random_label_clfonly_fc794,
