seed,head,forget_class,identity,epoch,forget_correct,forget_total,retain_correct,retain_total,output_forget,output_retain,nc3_centred,d_nc3_centred,nc3_uncentred,d_nc3_uncentred,probe_forget,nc1_angular
1,ce,95,00524,2,0,10,539,970,0.0,0.5556701030927835,0.7133624846185501,-0.12719055290134762,0.15002884624017535,-0.3463118341689785,0.9,0.9740622302714209
1,ce,95,00524,3,0,10,538,970,0.0,0.554639175257732,0.7071912555633535,-0.13336178195654425,0.13796226165939682,-0.35837841874975696,0.9,0.9740622302714209
1,arcface,0,00001,0,7,10,553,970,0.7,0.5701030927835051,0.9219315873428128,0.0,-0.8940941698518182,0.0,0.7,0.8210257728777127
1,arcface,0,00001,1,1,10,559,970,0.1,0.5762886597938144,0.9073237339092549,-0.01460785343355786,-0.924373766752457,-0.03027959690063875,0.7,0.8210257728777127
1,arcface,0,00001,2,0,10,552,970,0.0,0.5690721649484536,0.8981584251871704,-0.023773162155642402,-0.9326620405443773,-0.03856787069255907,0.7,0.8210257728777127
1,arcface,0,00001,3,0,10,556,970,0.0,0.5731958762886598,0.8927160241228831,-0.029215563219929686,-0.9359439374012156,-0.0418497675493974,0.7,0.8210257728777127
1,arcface,29,00142,0,8,10,552,970,0.8,0.5690721649484536,0.7556820621910747,0.0,-0.890391827186068,0.0,0.6,0.8210257728777127
1,arcface,29,00142,1,2,10,553,970,0.2,0.5701030927835051,0.6823883341977639,-0.0732937279933108,-0.921207921530417,-0.030816094344348954,0.6,0.8210257728777127
1,arcface,29,00142,2,0,10,557,970,0.0,0.5742268041237113,0.648057100543049,-0.10762496164802571,-0.9301397409111947,-0.03974791372512665,0.6,0.8210257728777127
1,arcface,29,00142,3,0,10,554,970,0.0,0.5711340206185567,0.6330842600764708,-0.12259780211460392,-0.9335746194520762,-0.043182792266008185,0.6,0.8210257728777127
1,arcface,60,00284,0,4,10,556,970,0.4,0.5731958762886598,0.7533854656936595,0.0,-0.8989579648061989,0.0,0.4,0.8210257728777127
1,arcface,60,00284,1,0,10,556,970,0.0,0.5731958762886598,0.708949998819105,-0.04443546687455446,-0.9260254190070929,-0.02706745420089396,0.4,0.8210257728777127
1,arcface,60,00284,2,0,10,555,970,0.0,0.5721649484536082,0.6837425795713008,-0.0696428861223587,-0.9342656266593515,-0.035307661853152594,0.4,0.8210257728777127
1,arcface,60,00284,3,0,10,553,970,0.0,0.5701030927835051,0.6696774450714138,-0.0837080206222457,-0.9376738229251136,-0.03871585811891465,0.4,0.8210257728777127
1,arcface,95,00524,0,10,10,550,970,1.0,0.5670103092783505,0.9719784147666561,0.0,-0.894931477841693,0.0,1.0,0.8210257728777127
1,arcface,95,00524,1,0,10,552,970,0.0,0.5690721649484536,0.9700083973738917,-0.001970017392764478,-0.9221715542880857,-0.027240076446392703,1.0,0.8210257728777127
1,arcface,95,00524,2,0,10,552,970,0.0,0.5690721649484536,0.9676745379357402,-0.004303876830915931,-0.931103567954451,-0.036172090112758015,1.0,0.8210257728777127
1,arcface,95,00524,3,0,10,551,970,0.0,0.568041237113402,0.9662280039235855,-0.005750410843070597,-0.9347118402109316,-0.03978036236923854,1.0,0.8210257728777127
