cell_name,K,head,seed,forget_class,identity,epoch,n_centre_classes,n_present_classes,delta_centred_production,delta_centred_weight_only,delta_centred_centre_only,interaction_residual,delta_uncentred_production,nc3_centred_forget,nc3_centred_forget_epoch0,nc3_uncentred_forget,nc3_uncentred_forget_epoch0,forget_weight_angle_deg,forget_weight_norm_ratio,retain_centre_angle_deg,retain_centre_norm_ratio,centred_forget_weight_angle_deg,centred_forget_weight_norm_ratio
faces_arcface_seed0_random_label_clfonly_fc95,100,arcface,0,95,00524,2,99,100,-0.14596206494770703,-0.14507626534464757,-0.0005129826171837992,-0.0003728169858756569,-0.03099256281114049,0.558578322952867,0.704540387900574,-0.9235118537382151,-0.8925192909270746,4.260207058135304,1.000760296379917,0.027976455118293345,0.9998797099314828,10.983526837845634,0.8053291397642806
faces_arcface_seed0_random_label_clfonly_fc95,100,arcface,0,95,00524,3,99,100,-0.17402491857378877,-0.17278160204711157,-0.0006727204585754709,-0.0005705960681017253,-0.035089002870771324,0.5305154693267853,0.704540387900574,-0.9276082937978459,-0.8925192909270746,4.881262718248804,1.0006770409080812,0.027976455118293345,0.9998314544373298,12.921812512145838,0.778393544466203
faces_ce_seed0_random_label_clfonly_fc0,100,ce,0,0,00001,1,99,100,-0.09361258887196489,-0.09212530284649112,-0.0004572719964474059,-0.0010300140290263604,-0.2861765182910956,0.7764957048826413,0.8701082937546062,0.23192581349409078,0.5181023317851864,17.856335528532433,0.8778217121581436,7.341122271766195,0.9797359078856699,17.86527674443044,0.8776013346768166
faces_ce_seed0_random_label_clfonly_fc0,100,ce,0,0,00001,2,99,100,-0.12228153912389061,-0.12027749892663253,-0.000541296513120515,-0.0014627436841375685,-0.34747299669231646,0.7478267546307156,0.8701082937546062,0.1706293350928699,0.5181023317851864,21.456391171544848,0.865769933235693,8.671357735092101,0.9776375724761764,21.46809565034913,0.865519393978492
faces_ce_seed0_random_label_clfonly_fc0,100,ce,0,0,00001,3,99,100,-0.12811743359706684,-0.12600820078124964,-0.0005576055122749057,-0.0015516273035423023,-0.3590982262238139,0.7419908601575393,0.8701082937546062,0.1590041055613725,0.5181023317851864,22.13478511353545,0.8636749436179281,8.919185453271787,0.977161480251566,22.14703606257509,0.8634190495061266
faces_ce_seed0_random_label_clfonly_fc29,100,ce,0,29,00142,1,99,100,-0.09123523122228827,-0.08978452905372336,-0.0004504536111575863,-0.0010002485574073239,-0.27835371569800726,0.7704435101234334,0.8616787413457216,0.25925880728148165,0.5376125229794889,17.540683386087508,0.8720582207883588,7.450270655790376,0.9739589754386231,17.52695584097883,0.8719010487306164
faces_ce_seed0_random_label_clfonly_fc29,100,ce,0,29,00142,2,99,100,-0.12264128394266305,-0.1206199404506072,-0.0005434933506286432,-0.001477850141427206,-0.3454541737350443,0.7390374574030586,0.8616787413457216,0.19215834924444467,0.5376125229794889,21.496948193040442,0.8573337148572165,8.956224689209536,0.9706062770000335,21.481137021109472,0.857129495091768
faces_ce_seed0_random_label_clfonly_fc29,100,ce,0,29,00142,3,99,100,-0.1320335746228054,-0.12984234763590496,-0.0005705628860872558,-0.001620664100813185,-0.36370772270234525,0.7296451667229162,0.8616787413457216,0.17390480027714367,0.5376125229794889,22.563903813963147,0.8537498891539037,9.35695917789659,0.9696754811719713,22.547593219769226,0.8535325532732744
faces_ce_seed0_random_label_clfonly_fc60,100,ce,0,60,00284,1,99,100,-0.08547557894925895,-0.08411546866115027,-0.0004188095785347956,-0.0009413007095738779,-0.2755194069548814,0.7565588951210307,0.8420344740702896,0.2535456690049134,0.5290650759597948,17.299887013980783,0.8767950154063944,7.068578243779655,0.9780311943487203,17.30073682546193,0.8765243430934033
faces_ce_seed0_random_label_clfonly_fc60,100,ce,0,60,00284,2,99,100,-0.11495688077520838,-0.11306252280653684,-0.0005066233729756897,-0.0013877345956958553,-0.3409851252196311,0.7270775932950813,0.8420344740702896,0.18807995074016368,0.5290650759597948,21.15751721004953,0.8623559932335245,8.484731892564277,0.9752567063283489,21.15996769302775,0.8620344869251443
faces_ce_seed0_random_label_clfonly_fc60,100,ce,0,60,00284,3,99,100,-0.1229725898205829,-0.12093309938889407,-0.0005296877491941521,-0.0015098026824946764,-0.3572277567868507,0.7190618842497067,0.8420344740702896,0.1718373191729441,0.5290650759597948,22.10785933130869,0.859023017055804,8.829262048221793,0.974512908101288,22.11075382717832,0.8586892097867909
faces_ce_seed0_random_label_clfonly_fc95,100,ce,0,95,00524,1,99,100,-0.10904429278016914,-0.10737142804643507,-0.0005821082518933096,-0.00109075648184076,-0.29617303683064994,0.7094333863530968,0.818477679133266,0.24014691609678923,0.5363199529274392,18.562438970871966,0.8690547378260401,7.511936837009011,0.9767154262428993,18.550688341592465,0.8689511323611249
faces_ce_seed0_random_label_clfonly_fc95,100,ce,0,95,00524,2,99,100,-0.14360970926530636,-0.14133159625527225,-0.0006951458808523991,-0.0015829671291817116,-0.36567099398947844,0.6748679698679596,0.818477679133266,0.17064895893796073,0.5363199529274392,22.64003826800712,0.8552588166565265,8.984653720543069,0.9739259223029167,22.626336358196838,0.8551166367264782
faces_ce_seed0_random_label_clfonly_fc95,100,ce,0,95,00524,3,99,100,-0.1525965206866846,-0.15016262817454418,-0.0007241352740778861,-0.001709757238062548,-0.38205269908646816,0.6658811584465814,0.818477679133266,0.154267253840971,0.5363199529274392,23.594134294500456,0.8522925010415497,9.325124932142037,0.9732169580165432,23.58001790108637,0.852141226938471
faces_arcface_seed0_random_label_clfonly_fc0,1000,arcface,0,0,00001,1,999,1000,0.040480070238317345,0.03858305502322246,0.0017149815643259236,0.0001820336507689646,-0.032783722153517436,0.9279837996574726,0.8875037294191552,-0.9173360014682365,-0.884552279314719,4.345957233610924,0.9993184888061509,0.0,0.9989580836824836,6.1882085554499255,0.7137684957538262
faces_arcface_seed0_random_label_clfonly_fc0,1000,arcface,0,0,00001,2,999,1000,0.05045431441152948,0.045830829623415115,0.004085948846224041,0.0005375359418903214,-0.03950597614854179,0.9379580438306847,0.8875037294191552,-0.9240582554632608,-0.884552279314719,5.33391820827498,0.9978196994945427,0.048456642643301504,0.9975098921893333,8.044787890260446,0.6481066058524292
faces_arcface_seed0_random_label_clfonly_fc0,1000,arcface,0,0,00001,3,999,1000,0.05695703855711032,0.049519727533335,0.006460298834218836,0.000977012189556481,-0.04363264115791965,0.9444607679762655,0.8875037294191552,-0.9281849204726387,-0.884552279314719,5.961410820685196,0.9963145417820171,0.06852804325551864,0.9960478405622595,9.372573989209268,0.6063054849845877
faces_arcface_seed0_random_label_clfonly_fc29,1000,arcface,0,29,00142,1,999,1000,-0.04066919061628693,-0.03800054261753538,-0.001490743810935058,-0.001177904187816492,-0.03643984304582881,0.8855551128950699,0.9262243035113569,-0.9182773165518496,-0.8818374735060208,4.812632899050919,0.9997988437260172,0.027976455118293345,0.9989432778214911,5.5780862770464825,0.6833616983001624
faces_arcface_seed0_random_label_clfonly_fc29,1000,arcface,0,29,00142,2,999,1000,-0.05222466686333904,-0.04508507845590137,-0.0035178266617221787,-0.0036217617457154905,-0.04289175201395745,0.8739996366480178,0.9262243035113569,-0.9247292255199783,-0.8818374735060208,5.76510605185305,0.9982985063584767,0.05595291190411357,0.9975162841956077,6.978085157114382,0.6198205723354758
faces_arcface_seed0_random_label_clfonly_fc29,1000,arcface,0,29,00142,3,999,1000,-0.06085591223097453,-0.04840767505256394,-0.00565142757467707,-0.006796809603733522,-0.04687882630881046,0.8653683912803823,0.9262243035113569,-0.9287162998148313,-0.8818374735060208,6.373445000125691,0.9967921755079125,0.06561060592844098,0.9960378933893504,7.984262510670694,0.5790225345600747
faces_arcface_seed0_random_label_clfonly_fc60,1000,arcface,0,60,00284,1,999,1000,0.005569540378527638,0.005349440233818226,0.000500035262983034,-0.00027993511827362205,-0.03416590910976092,0.9927495607227396,0.9871800203442119,-0.9188931915473113,-0.8847272824375504,4.547991859899651,0.999495311448954,0.027976455118293345,0.998945390233045,5.598742023669024,0.7008786832334831
faces_arcface_seed0_random_label_clfonly_fc60,1000,arcface,0,60,00284,2,999,1000,0.005478957356704561,0.0052246543037434146,0.0011588489089905396,-0.0009045458560293929,-0.04077946547120648,0.9926589777009165,0.9871800203442119,-0.9255067479087569,-0.8847272824375504,5.52853891281172,0.997996067642808,0.048456642643301504,0.9975027972616913,7.146440228045794,0.6353971271168942
faces_arcface_seed0_random_label_clfonly_fc60,1000,arcface,0,60,00284,3,999,1000,0.0049856183452016145,0.004908341459037957,0.0017851314710257693,-0.0017078545848621118,-0.0448312389937523,0.9921656386894135,0.9871800203442119,-0.9295585214313027,-0.8847272824375504,6.149946253294616,0.9964903917143825,0.06852804325551864,0.99605134930279,8.239666399868732,0.5937005217320619
faces_arcface_seed0_random_label_clfonly_fc95,1000,arcface,0,95,00524,1,999,1000,0.0005130082658011403,0.0005244202227477901,0.0002891825831620176,-0.0003005945401086674,-0.03384737335395105,0.989806624938833,0.9892936166730318,-0.919138914868163,-0.885291541514212,4.51535814887941,0.9994127084330482,0.027976455118293345,0.9989446287667922,4.817799734636599,0.6999921670228916
faces_arcface_seed0_random_label_clfonly_fc95,1000,arcface,0,95,00524,2,999,1000,-0.0005883466777575341,-0.0003140599779697384,0.0006652365147638006,-0.0009395232145515964,-0.040532152736655114,0.9887052699952743,0.9892936166730318,-0.9258236942508671,-0.885291541514212,5.508296731525868,0.997914024575257,0.048456642643301504,0.9975137898472421,6.134114566498933,0.6331563049968897
faces_arcface_seed0_random_label_clfonly_fc95,1000,arcface,0,95,00524,3,999,1000,-0.0016584992833580392,-0.000940110459290322,0.001016096332724481,-0.0017344851567921982,-0.04454466148950886,0.9876351173896738,0.9892936166730318,-0.9298362030037208,-0.885291541514212,6.125191329252241,0.9964082909627409,0.07132624918176021,0.9960503224873767,7.042749611776892,0.5913728231423705
